Wall time,Step,Value
1500389021.892406,3009,0.9140625
1500389022.9705577,3011,0.859375
1500389025.1114635,3015,0.875
1500389025.756989,3016,0.8828125
1500389027.5990827,3019,0.90625
1500389031.0422294,3025,0.8828125
1500389032.1887572,3027,0.9296875
1500389034.0434246,3030,0.921875
1500389038.9297166,3038,0.90625
1500389040.1048522,3040,0.8984375
1500389040.5689545,3041,0.8928571343421936
1500389047.672217,3042,0.890625
1500389053.0979035,3050,0.921875
1500389063.3526337,3065,0.8046875
1500389064.953482,3067,0.8515625
1500389066.5065227,3069,0.8203125
1500389067.9416924,3071,0.8828125
1500389069.4968166,3073,0.8984375
1500389074.8928955,3082,0.8828125
1500389077.076782,3086,0.875
1500389084.284152,3099,0.8671875
1500389086.4625494,3103,0.9296875
1500389097.2090662,3122,0.8984375
1500389105.6061215,3137,0.875
1500389106.1631293,3138,0.84375
1500389109.473125,3144,0.875
1500389110.0622184,3145,0.953125
1500389111.2454085,3147,0.859375
1500389112.9699724,3150,0.890625
1500389115.8258777,3155,0.8515625
1500389118.0938792,3159,0.890625
1500389119.18606,3161,0.7890625
1500389128.0753114,3177,0.9296875
1500389131.993839,3184,0.8984375
1500389134.2127688,3188,0.8984375
1500389138.1237729,3195,0.9453125
1500389138.675926,3196,0.9296875
1500389142.5405016,3203,0.8828125
1500389144.2089667,3206,0.9609375
1500389162.8226774,3230,0.84375
1500389164.492201,3233,0.9609375
1500389168.409238,3240,0.9296875
1500389170.0981197,3243,0.953125
1500389170.660057,3244,0.9296875
1500389171.7756472,3246,0.8828125
1500389172.3435154,3247,0.890625
1500389176.2956269,3254,0.9140625
1500389177.4174323,3256,0.890625
1500389183.9420393,3267,0.9296875
1500389186.9958706,3272,0.9375
1500389192.4092367,3281,0.9375
1500389193.5624382,3283,0.875
1500389194.7404275,3285,0.8984375
1500389197.0468338,3289,0.8671875
1500389198.7678463,3292,0.9375
1500389207.9369621,3305,0.9296875
1500389209.572471,3307,0.921875
1500389214.1649637,3313,0.8828125
1500389219.2885315,3321,0.9140625
1500389223.2485774,3327,0.84375
1500389223.8681142,3328,0.8828125
1500389224.5027788,3329,0.8984375
1500389227.2080095,3333,0.90625
1500389230.159289,3338,0.9453125
1500389234.3158255,3345,0.9375
1500389239.3059568,3353,0.9140625
1500389241.6523783,3357,0.8828125
1500389243.969944,3361,0.9453125
1500389245.1635191,3363,0.890625
1500389248.9494724,3369,0.921875
1500389250.947437,3372,0.8671875
1500389252.14612,3374,0.8515625
1500389253.3339334,3376,0.9609375
1500389254.5437782,3378,0.90625
1500389260.541737,3381,0.9140625
1500389263.4289052,3386,0.703125
1500389270.5358722,3398,0.90625
1500389273.4406338,3403,0.890625
1500389276.3376303,3408,0.8984375
1500389286.9039304,3426,0.9453125
1500389289.3481443,3430,0.90625
1500389291.1468217,3433,0.890625
1500389294.175844,3438,0.96875
1500389298.4887805,3445,0.8828125
1500389301.1910014,3449,0.8984375
1500389302.4571972,3451,0.90625
1500389306.3952813,3457,0.90625
1500389306.9928994,3458,0.8828125
1500389310.613036,3464,0.9140625
1500389314.7447371,3471,0.9140625
1500389318.2512655,3477,0.953125
1500389320.0188186,3480,0.9140625
1500389323.589883,3486,0.8828125
1500389330.1906605,3497,0.9296875
1500389331.387538,3499,0.90625
1500389335.5067127,3506,0.90625
1500389337.2926106,3509,0.9296875
1500389339.1725106,3512,0.9296875
1500389340.438802,3514,0.9140625
1500389344.1219466,3519,0.9375
1500389353.6964743,3535,0.9453125
1500389354.889178,3537,0.9453125
1500389355.4794133,3538,0.9453125
1500389357.8667197,3542,0.9453125
1500389358.459615,3543,0.921875
1500389360.833325,3547,0.921875
1500389366.4958205,3549,0.953125
1500389370.323068,3555,0.9140625
1500389370.9150212,3556,0.890625
1500389375.2328076,3563,0.9609375
1500389383.2084806,3575,0.9375
1500389386.370989,3580,0.921875
1500389388.722512,3583,0.921875
1500389395.4502792,3592,0.921875
1500389396.0969565,3593,0.90625
1500389400.1200213,3599,0.921875
1500389400.7270918,3600,0.90625
1500389409.6468904,3614,0.8984375
1500389412.1884623,3618,0.75
1500389413.447253,3620,0.90625
1500389414.9700272,3622,0.9140625
1500389416.8438132,3625,0.859375
1500389418.7219143,3628,0.90625
1500389424.6035085,3637,0.890625
1500389428.3531969,3643,0.9453125
1500389429.5687559,3645,0.921875
1500389436.5902977,3656,0.8984375
1500389437.3088136,3657,0.921875
1500389441.5678358,3663,0.96875
1500389446.7570436,3670,0.859375
1500389463.363513,3694,0.9140625
1500389465.244973,3697,0.9375
1500389467.1910555,3700,0.875
1500389468.4213667,3702,0.953125
1500389485.9549243,3723,0.8984375
1500389487.812827,3726,0.9375
1500389490.3347147,3730,0.875
1500389490.9620578,3731,0.9375
1500389491.5742655,3732,0.9609375
1500389495.3465323,3738,0.953125
1500389497.199314,3741,0.8671875
1500389498.4416804,3743,0.9296875
1500389503.9784806,3752,0.90625
1500389508.3339403,3759,0.9296875
1500389511.458653,3764,0.953125
1500389516.4188404,3772,0.9375
1500389518.8867223,3776,0.9453125
1500389520.1206334,3778,0.90625
1500389521.369256,3780,0.96875
1500389529.8245983,3793,0.921875
1500389531.2490451,3795,0.9453125
1500389533.3724353,3798,0.9453125
1500389541.1406403,3810,0.9375
1500389543.7127419,3814,0.8828125
1500389547.278175,3819,0.9609375
1500389548.7091606,3821,0.9921875
1500389555.7505753,3831,0.859375
1500389557.0538912,3833,0.90625
1500389558.398718,3835,0.90625
1500389567.6670415,3848,0.8984375
1500389571.999298,3854,0.8671875
1500389580.202434,3864,0.953125
1500389583.7572033,3869,0.9375
1500389589.0310152,3876,0.953125
1500389591.0597913,3879,0.9296875
1500389593.1416948,3881,0.9375
1500389620.1160064,3901,0.9296875
1500389620.9160876,3902,0.8984375
1500389621.592272,3903,0.8984375
1500389624.8937063,3908,0.9453125
1500389626.2037601,3910,0.8828125
1500389630.336176,3916,0.9609375
1500389633.5042717,3920,0.9453125
1500389640.7272072,3928,0.90625
1500389645.4916787,3934,0.9375
1500389646.262129,3935,0.953125
1500389648.8896773,3939,0.8984375
1500389657.6208663,3950,0.84375
1500389661.71933,3956,0.9296875
1500389666.2649481,3962,0.8828125
1500389668.5197153,3965,0.890625
1500389680.086621,3980,0.921875
1500389683.7385685,3984,0.9609375
1500389690.258702,3991,0.9375
1500389693.1634002,3995,0.9375
1500389696.715667,4000,0.9296875
1500389700.0697324,4005,0.9296875
1500389702.6137972,4009,0.90625
1500389703.2558506,4010,0.8828125
1500389704.5309756,4012,0.9375
1500389710.6822739,4021,0.953125
1500389711.8478882,4022,0.9609375
1500389721.167365,4033,0.9453125
1500389722.5476234,4035,0.9453125
1500389723.4113362,4036,0.8984375
1500389730.2162116,4043,0.953125
1500389731.7325613,4045,0.9609375
1500389732.516478,4046,0.921875
1500389733.3840795,4047,0.9375
1500389734.0121589,4048,0.921875
1500389736.8632698,4052,0.953125
1500389738.5235202,4054,0.921875
1500389758.3561976,4076,0.953125
1500389760.453934,4079,0.8984375
1500389769.5222697,4093,0.9609375
1500389772.7590895,4098,0.890625
1500389773.405001,4099,0.921875
1500389774.7126923,4101,0.9140625
